,label,sentence
0,1,"Bilo je proti jutru in petelin je se spal pod neko streho, kar mu pade na glavo slamnato steblo, katerega je izdrl veter."
1,1,"Petelin se zbudi hudo prestrašen, srepo zakikirika in zbeži po klancu."
2,1,Sreča raco.
3,1,"ki ga vpraša: »Kam pa, kam tako hitro, boter petelin?« »Po svetu, po svetu!« odgovori petelin."
4,1,»Bog pomagaj!
5,1,Potres!
6,1,"Poslopja se rušijo, tramovi padajo!« Raca mu brž odvrne: »Pa grem tudi jaz z vami.« »Nu, le pojdite, pojdite!« jo povabi petelin."
7,1,Nekaj časa potujeta in srečata mačko.
8,1,"Mačka vpraša pe¬telina : »Kam pa, kam tako hitro, boter petelin?«

»Po svetu, po svetu."
9,1,"Poslopja se rušijo, tramovi padajo,« dejc petelin."
10,1,Mačka prestrašena vzklikne: »Ali naj grem tudi jaz z vama!
11,1,"?« »Nu le, pojdite, pojdite!« odvrne petelin."
12,1,"In so šli in šli, dokler niso prišli k neki pastirski koči, pred katero je lenaril pes."
13,1,"Ko pes zagleda čudno družbo, skoči na noge, si otrese prah, lepo zavihne rep in vpraša: »Kam pa, kam tako hitro, boter petelin?« Petelin je odgovoril kakor drugim in tudi pes se jim je pridružil."
14,1,"Tako so šli naprej: srečali in pobrali so grede osla, potem vola in še nekaj druge drobne živine."
15,1,Potem so šli in šli.
16,1,"Ze so bili zelo lačni, ker so bežali ves dan, in noč se je bližala."
17,1,"Šli so skozi velik gozd vedno naprej, dokler ni postala že črna tema."
18,1,"Tedaj niso mogli več dalje, ustavili so se lačni, trudni in obupani."
19,1,Petelin sfribli na visoko drevo in zagleda daleč majhno lučko.
20,1,"Ko je povedal tovarišem o luči, so se vsi razveselili in se vsi skupaj odpravili proti tiste¬mu kraju."
21,1,Tako so prišli k neki samotni hiši.
22,1,"Petelin, kije bil poglavar vse družbe, je rekel oslu: »Pristavi se k zidu pod okno in pes naj ti stopi na hrbet, da lepo pogleda, kaj in kako je v hiši.« Osel se je prislonil k zidu."
23,1,"pes mu je skočil na hrbet, in ko je pogledal skozi okno, je videl, da so bili ravnokar zvrnili polento ter se pripravljali k večerji."
24,1,Polna hiša jih je bila in bili so razbojniki.
25,1,"Ko petelin to sliši, veselo poskoči in reče: »Dobro, dobro!"
26,1,"Čakajte, vse bo naše!"
27,1,Živeli mi!
28,1,Živela naša koža!
29,1,Ne poginemo še za lakoto!
30,1,"Poslušajte me zdaj: Jaz zletim na tole streho, da vidim, kaj se bo godilo v tej hiši, vi pa se poskrijte tu in tam okoli hiše."
31,1,"Kadar bo pravi čas, zakikirikam na vse grlo, in ko me boste slišali, naj se vsak oglasi na najbolj gromki in strašen način.« Tako so storili."
32,1,"Petelin je zletel na streho, preostala živad pa vsaka za svoj ogel."
33,1,Medtem so se razvrstili razbojniki okoli velike mize in začeli večerjati.
34,1,"Tedaj petelin tako zakikirika, da bi se mu skoraj grlo razpočilo."
35,1,"Ko ga zaslišijo druge živali, se vsaka napne, da da svoj glas: osel zariga, vol zamuka, raca zago-gotii, mačka srdito zamijavka."
36,1,pes zagrči in zalaja in vsaka druga stvar sc oglasi po svoje.
37,1,"Nastane tako grozovit hrup okoli hiše, da sc razbojniki hudo prestrašijo, popuste večerjo, zbeže iz hiše in se poskrijejo daleč po gozdu."
38,1,"Tačas pa so živali stopile v hišo, se najedle vsega dobrega in sc lepo okrepčale."
39,1,Potem so šle k počitku.
40,1,"Petelin je zlezel v dimnik, mačka je počepnila na ognjišče, pes se je raztegnil pod mizo, raca sc jc spravila v čebrič napolnjen z vodo, osel sc jc zavalil na tla pri vratih, vol je polegnil nedaleč ob steni in vsaka druga žival si je izbrala svoj količek."
41,1,"Ko so že vse pospale in se jim je že lepo sanjalo, se je pri¬tihotapil eden razbojnikov k hiši in pokukal skozi okno, da bi videl, kaj in kako je notri, in če je še mogoče povečerjati."
42,1,"Ker je vse temno in tiho, rahlo odpre vrata in stopi naravnost k ognjišču, da zaneti ogenj."
43,1,"Ko se približa, zagleda kakor dva tleča oglja in začne hitro pihati vanje."
44,1,Pa so bile le mačje oči.
45,1,Mačka jezno skoči na noge in ga opraska.
46,1,Hudo ga zaboli in nehote vzdigne oči proti dimniku.
47,1,"Prav ta trenutek pa spusti petelin nizdol kokošjak, ki mu oblati oči."
48,1,"Zato pohiti k čebriču, da se umije."
49,1,"Kar sc zbudi raca, silno vztrepeče v vodi s perutmi in ga vsega oškropi."
50,1,"Popade za brisačo, da se obriše, pa ga ose, ki so sc bile skrile k počitku med gube brisače, jezno na¬padejo in opikajo."
51,1,Odskoči od brisače k mizi in stopi psu na rep.
52,1,Pes — ne bodi len ga hitro popade za nogo in ga okolje.
53,1,"Prestrašen se vrže k vratom, pa sc zaleti v osla, ki ga tako krepko brcne, da pade volu na glavo."
54,1,Vol razsrjen ga kar z rogmi vrže skozi vrata.
55,1,Tako obleži nesrečni razbojnik ves pobit pred hišo.
56,1,"Spravi se na noge in odide proti tovarišem, ki so se že tudi vračali."
57,1,Videč ga tako prestrašenega in zdelanega se mu začnejo smejati in rogati.
58,1,"On pa jim reče: »O, ne smejte se, prijatelji!"
59,1,Po menije!
60,1,"Grozno sem kazno¬van in tudi vam sc bo tako godilo, če se vrnete v hišo."
61,1,"Vse hudo jc nad nami, ker smo že toliko zla storili."
62,1,"Ko sem stopil v hišo, sem hotel najprej zanetiti ogenj in začel sem pihati v žerjavico, pa mi neka spaka obličje razpraska; vzdignem kvišku oči, pa mi jih neki zlomek zalije z malto: hitim se umivat, pa me škrat, ki je čepel v čebriču, vsega oškropi; grem k brisači, da sc obrišem, pa je bila vsa pretkana z iglami; skočim k mizi, pa me popade satan s kleščami za nogo; vržem sc k vratom, pa me neka hudoba tako hudo brcne, da priletim samemu vragu na rogc, ta me pa kar skozi vrata zabrusi."
63,1,"In zdaj sami vidite, kakšen sem."
64,1,"Po nas je, vam pravim, po nas!"
65,1,"Bežimo, da se nam še kaj hujšega ne zgodi!«

Na te besede so se razbojniki vsi prestrašeni obrnili, zbežali in se razpršili na vse kraje, da o njih ni bilo nikoli več slišati v naši deželi."
66,1,"Vse to pa zaradi botra petelina, bog mu daj zdravje!"
67,1,Živali pa so se odpravile dalje po svetu.
